framenum,time,skier,centrex,centrey,safe
158,10.533333333333333,1,531,147,False
158,10.533333333333333,2,497,350,False
158,10.533333333333333,3,545,340,True
158,10.533333333333333,4,328,673,False
158,10.533333333333333,5,357,673,False
159,10.6,0,377,163,False
159,10.6,1,530,147,False
159,10.6,2,497,351,False
159,10.6,3,545,341,True
159,10.6,4,328,673,False
159,10.6,5,357,673,False
160,10.666666666666666,0,376,163,False
160,10.666666666666666,1,531,147,False
160,10.666666666666666,2,496,353,False
160,10.666666666666666,3,544,343,True
160,10.666666666666666,4,328,673,False
160,10.666666666666666,5,357,673,False
161,10.733333333333333,0,375,165,False
161,10.733333333333333,1,531,148,False
161,10.733333333333333,2,494,355,False
161,10.733333333333333,3,542,345,False
161,10.733333333333333,4,328,673,False
161,10.733333333333333,5,357,673,False
162,10.8,0,376,165,False
162,10.8,1,530,148,False
162,10.8,2,494,356,False
162,10.8,3,542,345,False
162,10.8,4,328,673,False
162,10.8,5,357,673,False
163,10.866666666666667,0,375,166,False
163,10.866666666666667,1,531,148,False
163,10.866666666666667,2,493,358,False
163,10.866666666666667,3,540,347,False
163,10.866666666666667,4,328,673,False
163,10.866666666666667,5,357,673,False
164,10.933333333333334,0,375,167,False
164,10.933333333333334,1,531,148,False
164,10.933333333333334,2,493,359,False
164,10.933333333333334,3,540,347,False
164,10.933333333333334,4,328,673,False
164,10.933333333333334,5,357,673,False
165,11.0,0,374,167,False
165,11.0,1,531,148,False
165,11.0,2,493,361,False
165,11.0,3,538,349,False
165,11.0,4,328,673,False
165,11.0,5,357,673,False
166,11.066666666666666,0,374,169,False
166,11.066666666666666,1,530,148,False
166,11.066666666666666,2,491,363,False
166,11.066666666666666,3,537,350,False
166,11.066666666666666,4,328,673,False
166,11.066666666666666,5,357,673,False
167,11.133333333333333,0,373,169,False
167,11.133333333333333,1,531,147,False
167,11.133333333333333,2,491,364,False
167,11.133333333333333,3,536,351,False
167,11.133333333333333,4,328,673,False
167,11.133333333333333,5,357,673,False
168,11.2,0,372,170,False
168,11.2,1,531,147,False
168,11.2,2,490,365,False
168,11.2,3,534,352,False
168,11.2,4,328,673,False
168,11.2,5,357,673,False
169,11.266666666666667,0,372,170,False
169,11.266666666666667,1,531,147,False
169,11.266666666666667,2,490,367,False
169,11.266666666666667,3,534,352,False
169,11.266666666666667,4,328,673,False
169,11.266666666666667,5,357,673,False
170,11.333333333333334,0,372,172,False
170,11.333333333333334,1,530,147,False
170,11.333333333333334,2,489,368,False
170,11.333333333333334,3,532,354,False
170,11.333333333333334,4,328,673,False
170,11.333333333333334,5,357,673,False
171,11.4,0,371,173,False
171,11.4,1,530,147,False
171,11.4,2,488,370,False
171,11.4,3,531,355,False
171,11.4,4,328,673,False
171,11.4,5,357,673,False
172,11.466666666666667,0,371,173,False
172,11.466666666666667,1,531,147,False
172,11.466666666666667,2,488,370,False
172,11.466666666666667,3,529,355,False
172,11.466666666666667,4,328,673,False
172,11.466666666666667,5,357,673,False
173,11.533333333333333,0,370,175,False
